City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
212,Bay Roberts,CA,47.5999,-53.2648,39.02,89,100,10.0,overcast clouds
213,Shitanjing,CN,39.2342,106.3439,16.11,32,0,1.12,clear sky
214,Rongcheng,CN,30.634,117.8517,40.3,84,100,1.7,overcast clouds
215,Luau,AO,-10.7073,22.2247,62.94,99,100,2.21,overcast clouds
216,Cherskiy,RU,68.75,161.3,-28.86,99,16,3.36,few clouds
217,Pitelino,RU,54.5777,41.8145,19.06,94,100,8.59,snow
218,Canakkale,TR,40.0833,26.8333,36.21,94,26,4.76,scattered clouds
219,Horconcitos,PA,8.4682,-81.8007,65.19,90,56,5.77,broken clouds
220,Deder,ET,9.3167,41.45,51.31,40,62,5.14,broken clouds
221,Tursunzoda,TJ,38.5144,68.2333,36.48,38,0,6.8,clear sky
222,Luanshya,ZM,-13.1367,28.4166,61.21,99,95,3.65,overcast clouds
223,Abha,SA,18.2164,42.5053,51.62,87,20,0.0,few clouds
224,Luanda,AO,-8.8368,13.2343,75.16,81,100,7.65,overcast clouds
225,Upata,VE,8.0086,-62.3989,74.19,86,42,5.28,scattered clouds
226,Hami,CN,42.8,93.45,24.12,33,14,1.77,few clouds
227,Grand Gaube,MU,-20.0064,57.6608,81.0,84,100,10.0,overcast clouds
228,Chalmette,US,29.9427,-89.9634,48.2,91,100,6.91,thunderstorm with light rain
229,Tilichiki,RU,60.4667,166.1,4.28,79,100,9.71,overcast clouds
230,Opuwo,NA,-18.0607,13.84,62.98,58,4,2.77,clear sky
231,Carnarvon,AU,-24.8667,113.6333,96.87,36,21,9.22,few clouds
232,Andenes,NO,69.3143,16.1194,22.98,68,100,33.38,overcast clouds
233,Aviles,ES,43.5547,-5.9248,55.72,75,100,5.75,overcast clouds
234,Veraval,IN,20.9,70.3667,64.8,42,12,4.81,few clouds
235,Ibra,OM,22.6906,58.5334,59.4,69,0,3.36,clear sky
236,Ixtapa,MX,20.7,-105.2,70.83,78,20,0.0,few clouds
237,Miyako,JP,39.6367,141.9525,34.72,45,97,8.66,overcast clouds
238,Ahipara,NZ,-35.1667,173.1667,77.23,69,66,14.2,broken clouds
239,Rio Grande,BR,-32.035,-52.0986,70.95,86,100,10.0,light rain
240,Baykit,RU,61.67,96.37,11.39,97,99,3.71,overcast clouds
241,Yanji,CN,42.9075,129.5078,14.58,54,46,15.28,scattered clouds
242,Hofu,JP,34.05,131.5667,48.07,43,12,15.41,few clouds
243,Touros,BR,-5.1989,-35.4608,79.7,75,58,13.24,broken clouds
244,Maniitsoq,GL,65.4167,-52.9,12.52,76,100,19.3,light snow
245,Bealanana,MG,-14.55,48.7333,64.06,95,89,3.42,overcast clouds
246,Klaksvik,FO,62.2266,-6.589,36.52,81,99,49.82,overcast clouds
247,Port Hedland,AU,-20.3167,118.5667,96.85,38,84,21.85,broken clouds
248,Kozan,TR,37.4552,35.8157,45.5,87,100,4.88,overcast clouds
249,Monrovia,LR,6.3005,-10.7969,77.68,86,10,2.44,clear sky
250,Tura,IN,25.5198,90.2201,59.43,80,100,1.74,light rain
251,Gagnoa,CI,6.1293,-5.9437,69.04,99,22,2.35,few clouds
252,Mersin,TR,36.862,34.6509,47.55,85,100,9.62,overcast clouds
253,Cabo San Lucas,MX,22.8909,-109.9124,67.51,58,20,8.05,few clouds
254,Lata,PT,40.1629,-8.3327,48.07,96,99,0.54,overcast clouds
255,Wanlaweyn,SO,2.6185,44.8938,73.08,66,41,13.11,scattered clouds
256,Sukumo,JP,32.9333,132.7333,48.27,46,33,12.91,scattered clouds
257,Fortuna,US,40.5982,-124.1573,46.65,88,75,0.0,broken clouds
258,Surin,TH,14.8818,103.4936,77.92,73,28,10.0,scattered clouds
259,Atambua,ID,-9.1061,124.8925,80.29,75,61,7.52,broken clouds
260,Atar,MR,20.5169,-13.0499,65.68,16,0,6.91,clear sky
261,Pacific Grove,US,36.6177,-121.9166,56.95,83,0,1.99,clear sky
262,Flinders,AU,-34.5833,150.8552,73.8,58,85,16.26,light rain
263,Danshui,CN,22.7984,114.4672,60.87,59,16,9.8,few clouds
264,Makakilo City,US,21.3469,-158.0858,79.12,45,0,9.22,clear sky
265,Srednekolymsk,RU,67.45,153.6833,-28.77,99,43,1.74,scattered clouds
266,Jiexiu,CN,37.0244,111.9125,28.85,33,0,6.51,clear sky
267,Pevek,RU,69.7008,170.3133,-19.21,100,25,3.58,scattered clouds
268,Inuvik,CA,68.3499,-133.7218,-24.84,68,20,2.3,few clouds
269,The Valley,AI,18.217,-63.0578,77.83,83,20,5.75,few clouds
270,Hinche,HT,19.15,-72.0167,72.82,91,13,4.7,few clouds
271,Narsaq,GL,60.9167,-46.05,25.02,96,100,7.7,snow
272,Sangueya,GN,10.7,-14.3667,70.77,92,0,2.19,clear sky
273,Mattru,SL,7.6244,-11.8332,70.68,97,1,1.81,clear sky
274,Boa Vista,BR,2.8197,-60.6733,82.38,61,0,11.5,clear sky
275,Hualmay,PE,-11.0964,-77.6139,70.56,82,83,8.48,broken clouds
276,Povazska Bystrica,SK,49.1215,18.4217,37.0,93,75,4.0,mist
277,Roald,NO,62.5833,6.1333,40.12,87,100,16.11,moderate rain
278,Leshukonskoye,RU,64.8989,45.7622,-2.96,100,92,2.35,overcast clouds
279,Araouane,ML,18.9048,-3.5265,62.82,13,0,10.36,clear sky
280,Lasa,IT,46.6166,10.7002,31.3,63,35,3.36,scattered clouds
281,Dinhata,IN,26.1333,89.4667,61.38,61,100,11.07,moderate rain
282,Chenzhou,CN,25.8,113.0333,41.9,83,98,5.08,overcast clouds
283,Te Anau,NZ,-45.4167,167.7167,48.34,97,100,3.22,light rain
284,Berlevag,NO,70.8578,29.0864,20.98,81,98,13.56,overcast clouds
285,Urumqi,CN,43.801,87.6005,-1.25,85,75,2.24,fog
286,Broken Hill,AU,-31.95,141.4333,72.82,25,0,18.14,clear sky
287,Saravena,CO,6.9538,-71.8752,76.03,61,33,3.02,scattered clouds
288,Horodyshche,UA,49.2849,31.4451,19.38,94,44,9.82,scattered clouds
289,Winnemucca,US,40.973,-117.7357,33.85,51,0,12.66,clear sky
